,PitchRight,RollRight,YawRight,WristPosZRight,ElbowPosYRight,ElbowPosZRight,GrabStrenthRight,GrabAngleRight,PinchStrengthRight,TimeLeft,PitchLeft,RollLeft,YawLeft,WristPosXLeft,WristPosYLeft,ElbowposXLeft,GrabStrenthLeft,GrabAngleLeft,PinchStrengthLeft,label,PositionXDiff,PositionYDiff,PositionZDiff,xyzTotal,velxyzTotal
29,0.2823419,-0.5223132,-0.3190421,19.238,-15.52335,181.3302,0.0,0.2300384,0.0,9.409700000000043,0.5766055,0.9352307,0.1034769,-123.7977,148.0367,-245.7058,1.0,2.981664,0.34612,Spontaneous,47.53989999999999,-28.616600000000005,-38.102628100000004,67.31093637513082,125.49921924409372
30,0.3347845,-0.5636463,-0.2886074,32.70471,-9.667727,187.0512,0.0,0.4568917,0.0,9.492500000000009,0.70712,1.120905,-0.08485858,-120.5893,147.7534,-224.8343,1.0,3.094701,0.2924089,Spontaneous,40.917699999999996,-28.12100000000001,-25.0803071,55.62437072471302,306.3259666312607
31,0.6268274,-0.6162423,-0.4419027,58.46734,-39.67666,148.3717,0.0,0.2069774,0.0,9.576000000000022,0.7796111,1.260434,-0.2278357,-119.2101,150.7406,-226.0903,1.0,3.141593,0.3368216,Spontaneous,37.4025,-7.0212999999999965,14.066573,40.57233214771279,606.3105861514824
32,1.028986,-0.8646985,-0.603566,80.40089,-34.29451,128.8724,0.0,0.1573336,0.0,9.658200000000022,0.8167059,1.414764,-0.2926411,-117.1961,149.401,-212.6301,1.0,2.859962,0.6223599,Spontaneous,39.694800000000015,15.941100000000006,55.230085,69.85812841292864,565.5933750952719
33,1.488377,-1.138446,-1.37237,91.86653,-35.01751,111.2038,0.0,0.1828289,0.0,9.741600000000004,0.7813994,1.536968,-0.207124,-116.8099,147.3082,-192.6389,0.4086791,1.594529,0.6873314,Spontaneous,42.563799999999986,30.85559999999998,91.945316,105.91357918671171,447.160368580619
34,1.835137,-1.228752,-2.08127,92.19837,-23.13119,99.31058,0.0,0.2449161,0.0,9.823900000000036,0.7022611,1.667947,-0.1273182,-116.3475,148.7385,-195.5365,0.1633426,1.408299,0.1153884,Spontaneous,43.48289999999999,31.601,114.414778,126.4125279321606,273.57328514143154
35,1.907079,-1.208248,-2.138814,88.78082,-23.4285,60.53059,0.0,0.0,0.0,9.9067,0.5848616,1.749206,0.06335779,-120.0023,146.7795,-199.9677,0.0,1.54912,0.0,Spontaneous,43.30319999999999,35.11189999999999,115.697731,128.4288815274756,113.27362244057794
36,1.839433,-1.239216,-2.094377,84.20576,-23.83855,60.66153,0.0,0.1418487,0.0,9.989900000000034,0.5606104,1.830402,0.09283885,-116.1325,138.5493,-194.873,0.004640667,1.812148,0.0,Spontaneous,48.203100000000006,47.86779999999999,111.109686,130.23143802273162,206.6992271989008
37,1.491346,-1.148267,-1.379826,78.47891,-26.73891,79.02682,0.0,0.2910365,0.0,10.07230000000004,0.5211365,1.977604,0.08567626,-109.2343,129.1936,-199.527,0.1989527,2.478627,0.4886282,Spontaneous,56.104,54.57050000000001,92.43386,121.11819335157539,327.7417760165494
38,1.070975,-0.9403973,-0.7309882,67.5416,-25.9736,92.30304,0.0,0.1046397,0.0,10.155200000000036,0.5629452,2.092532,0.1902457,-106.528,118.5726,-226.242,0.2198938,1.978344,0.0,Spontaneous,62.34089999999999,53.86680000000001,59.522009999999995,101.64098400492834,371.51341067071587
39,0.6681126,-0.7613261,-0.5259882,65.7832,-41.6323,124.5888,0.0,0.1624353,0.0,10.238800000000026,0.5279316,2.25448,0.3091729,-103.5189,116.86,-229.0355,0.1004759,2.479825,0.5530073,Spontaneous,69.29839000000001,42.07579999999999,47.40795,93.91567241645348,216.85844049044277
40,0.4173962,-0.6224271,-0.4150498,68.29718,4.801196,165.2531,0.0,0.31127,0.0,10.321200000000031,0.5229154,2.554674,0.4631229,-104.88,123.4576,-239.7948,0.0,2.651131,0.7194553,Spontaneous,69.11374,23.385199999999998,44.852999999999994,85.64676435702403,184.81068911503877
